agent_id,city,trust_score,calibration_factor,participation_state,residual_history_len,last_residual_W,last_market_slippage_pct,last_planner_action,step,timestamp
BEI-005,Beijing,0.87,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
BEI-006,Beijing,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
BEI-007,Beijing,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
BEI-008,Beijing,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
BEI-009,Beijing,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
BEI-010,Beijing,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
SHA-001,Shanghai,0.86,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
SHA-002,Shanghai,0.71,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
SHA-003,Shanghai,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
SHA-004,Shanghai,0.87,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
SHA-005,Shanghai,0.71,1.0,active,5,461.56,12.6984,reject,4,2026-04-01T04:00:00+08:00
SHA-006,Shanghai,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
SHA-007,Shanghai,0.68,1.0,active,5,1018.46,12.6984,reject,4,2026-04-01T04:00:00+08:00
SHA-008,Shanghai,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
SHA-009,Shanghai,0.87,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
SHA-010,Shanghai,0.84,1.0,active,5,475.63,12.6984,reject,4,2026-04-01T04:00:00+08:00
CHE-001,Chengdu,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
CHE-002,Chengdu,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
CHE-003,Chengdu,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
CHE-004,Chengdu,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
CHE-005,Chengdu,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
