tolerance,attack_type,scenario_family,normal_false_rejection_rate,records,tp,tn,fp,fn,precision,recall,f1,false_acceptance_rate,false_rejection_rate
1.05,sensor_drift,temporal_persistence,0.0,36000,2409,32932,0,659,1.0,0.7852020860495437,0.8796786561986489,0.21479791395045633,0.0
1.05,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.05,replay_attack,temporal_persistence,0.0,36000,718,33840,0,1442,1.0,0.33240740740740743,0.49895760945100764,0.6675925925925926,0.0
1.05,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.05,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.05,intermittent_burst,temporal_persistence,0.0,36000,383,35564,0,53,1.0,0.8784403669724771,0.9352869352869352,0.12155963302752294,0.0
1.055,dataset_fdia,original_dataset,0.0,36000,1551,34200,0,249,1.0,0.8616666666666667,0.9256938227394808,0.13833333333333334,0.0
1.055,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.055,above_bound,physics_impossible,0.0,36000,1713,34200,0,87,1.0,0.9516666666666667,0.9752348420153715,0.04833333333333333,0.0
1.055,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.055,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.055,sensor_drift,temporal_persistence,0.0,36000,2387,32932,0,681,1.0,0.7780312907431551,0.875160403299725,0.22196870925684484,0.0
1.055,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.055,replay_attack,temporal_persistence,0.0,36000,710,33840,0,1450,1.0,0.3287037037037037,0.4947735191637631,0.6712962962962963,0.0
1.055,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.055,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.055,intermittent_burst,temporal_persistence,0.0,36000,380,35564,0,56,1.0,0.8715596330275229,0.9313725490196079,0.12844036697247707,0.0
1.06,dataset_fdia,original_dataset,0.0,36000,1550,34200,0,250,1.0,0.8611111111111112,0.9253731343283582,0.1388888888888889,0.0
1.06,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.06,above_bound,physics_impossible,0.0,36000,1713,34200,0,87,1.0,0.9516666666666667,0.9752348420153715,0.04833333333333333,0.0
1.06,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.06,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
