attack_type,scenario_family,attack_rate,attack_rows,scenario_description,detector,records,tp,tn,fp,fn,precision,recall,f1,false_acceptance_rate,false_rejection_rate
coordinated_near_bound,coordinated_stealth,0.05402777777777778,1945,Multiple nodes in the same city inflate reports near the bound.,IQR/MAD,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
coordinated_near_bound,coordinated_stealth,0.05402777777777778,1945,Multiple nodes in the same city inflate reports near the bound.,physics-bound,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
coordinated_near_bound,coordinated_stealth,0.05402777777777778,1945,Multiple nodes in the same city inflate reports near the bound.,physics+temporal,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
coordinated_near_bound,coordinated_stealth,0.05402777777777778,1945,Multiple nodes in the same city inflate reports near the bound.,physics+temporal+neighbor,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
coordinated_near_bound,coordinated_stealth,0.05402777777777778,1945,Multiple nodes in the same city inflate reports near the bound.,physics+trust-memory,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
coordinated_near_bound,coordinated_stealth,0.05402777777777778,1945,Multiple nodes in the same city inflate reports near the bound.,adaptive-solaragent,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
intermittent_burst,temporal_persistence,0.01211111111111111,436,Short attack bursts appear intermittently across targeted nodes.,3-sigma,36000,381,35564,0,55,1.0,0.8738532110091743,0.9326805385556916,0.12614678899082568,0.0
intermittent_burst,temporal_persistence,0.01211111111111111,436,Short attack bursts appear intermittently across targeted nodes.,IQR/MAD,36000,412,35564,0,24,1.0,0.944954128440367,0.9716981132075472,0.05504587155963303,0.0
intermittent_burst,temporal_persistence,0.01211111111111111,436,Short attack bursts appear intermittently across targeted nodes.,physics-bound,36000,388,35564,0,48,1.0,0.8899082568807339,0.941747572815534,0.11009174311926606,0.0
intermittent_burst,temporal_persistence,0.01211111111111111,436,Short attack bursts appear intermittently across targeted nodes.,physics+temporal,36000,394,35534,30,42,0.9292452830188679,0.9036697247706422,0.9162790697674418,0.0963302752293578,0.0008435496569564728
intermittent_burst,temporal_persistence,0.01211111111111111,436,Short attack bursts appear intermittently across targeted nodes.,physics+temporal+neighbor,36000,389,35564,0,47,1.0,0.8922018348623854,0.943030303030303,0.10779816513761468,0.0
intermittent_burst,temporal_persistence,0.01211111111111111,436,Short attack bursts appear intermittently across targeted nodes.,physics+trust-memory,36000,390,35560,4,46,0.9898477157360406,0.8944954128440367,0.9397590361445783,0.10550458715596331,0.00011247328759419637
intermittent_burst,temporal_persistence,0.01211111111111111,436,Short attack bursts appear intermittently across targeted nodes.,adaptive-solaragent,36000,391,35560,4,45,0.9898734177215189,0.8967889908256881,0.941034897713598,0.10321100917431193,0.00011247328759419637
